eQTL_id,gene,tissue,distance_tss,lead_variant,beta,permutation_p,bh_permutation_p,discovery,consequence,lead_variant_type,lead_sv,lead_sv_caviar_prob,lead_sv_caviar_rank,h_sv,h_b,h_cis,sv_h_frac,composite
ENSG00000002726.15|Whole_Blood,ENSG00000002726.15,Whole_Blood,-58325,LUMPY_MEI_164299,-0.629269,7.67902e-06,0.000869118796952381,SV,NONCODING,SV,LUMPY_MEI_164299,2.65282e-22,39,0.0744228,0.344777,0.4192,0.177535,1.9743e-23
ENSG00000002919.10|Cells_Transformed_fibroblasts,ENSG00000002919.10,Cells_Transformed_fibroblasts,340762,LUMPY_BND_122659_1,0.341621,0.00126897,0.0533375283214286,SV,NONCODING,SV,LUMPY_BND_122659_1,4.47913e-07,101,0.0422538,0.150585,0.192839,0.219115,1.8926e-08
ENSG00000002933.3|Whole_Blood,ENSG00000002933.3,Whole_Blood,-35232,LUMPY_MEI_164299,-0.754874,1.72467e-08,3.62760677522124e-06,SV,NONCODING,SV,LUMPY_MEI_164299,7.2988e-22,23,0.144326,0.356975,0.501301,0.287903,1.05341e-22
ENSG00000003137.4|Whole_Blood,ENSG00000003137.4,Whole_Blood,65000,LUMPY_BND_189709_1,0.859367,2.53021e-08,5.14000267350427e-06,SV,NONCODING,SV,LUMPY_BND_189709_1,0.0280227,7,0.0929221,0.110401,0.203323,0.457017,0.00260393
ENSG00000003249.9|Cells_Transformed_fibroblasts,ENSG00000003249.9,Cells_Transformed_fibroblasts,4118,LUMPY_DEL_121465,0.797593,0.000226916,0.0133863378646617,SV,NONCODING,SV,LUMPY_DEL_121465,0.0529543,5,0.077486,0.090893,0.168379,0.460188,0.00410322
ENSG00000003249.9|Lung,ENSG00000003249.9,Lung,4118,LUMPY_DEL_121465,0.635203,2.21024e-05,0.00279782835714286,SV,NONCODING,SV,LUMPY_DEL_121465,0.0330267,5,0.153713,4e-06,0.153717,0.999974,0.00507663
ENSG00000004455.12|Whole_Blood,ENSG00000004455.12,Whole_Blood,-92982,LUMPY_MEI_94510,-0.262654,0.000440379,0.0298203078974359,SV,NONCODING,SV,LUMPY_MEI_94510,0.160268,1,0.112745,0.03932,0.152065,0.741426,0.0180694
ENSG00000004534.10|Adipose_Subcutaneous,ENSG00000004534.10,Adipose_Subcutaneous,-551,LUMPY_DEL_140227,-0.44516,7.9477e-07,0.000186575743333333,SV,NONCODING,SV,LUMPY_DEL_140227,1.3401e-09,101,0.0633017,0.158149,0.221451,0.28585,8.48306e-11
ENSG00000004534.10|Artery_Tibial,ENSG00000004534.10,Artery_Tibial,-551,LUMPY_DEL_140227,-0.345946,1.30836e-06,0.000274183879663866,SV,NONCODING,SV,LUMPY_DEL_140227,2.15599e-13,101,0.0282291,0.157888,0.186117,0.151674,6.08617e-15
ENSG00000004534.10|Cells_Transformed_fibroblasts,ENSG00000004534.10,Cells_Transformed_fibroblasts,-551,LUMPY_DEL_140227,-0.273372,1.11219e-07,1.66743491847134e-05,SV,NONCODING,SV,LUMPY_DEL_140227,2.15694e-06,101,0.168092,0.13453,0.302622,0.555452,3.62564e-07
ENSG00000004534.10|Esophagus_Mucosa,ENSG00000004534.10,Esophagus_Mucosa,-551,LUMPY_DEL_140227,-0.274831,7.67614e-05,0.00949245563864734,SV,NONCODING,SV,LUMPY_DEL_140227,1.02282e-07,101,0.124162,0.0344,0.158562,0.78305,1.26995e-08
ENSG00000004534.10|Esophagus_Muscularis,ENSG00000004534.10,Esophagus_Muscularis,-551,LUMPY_DEL_140227,-0.373,9.1044e-06,0.0016824127525,SV,NONCODING,SV,LUMPY_DEL_140227,7.85829e-13,101,0.0461377,0.165641,0.211779,0.217858,3.62563e-14
ENSG00000004534.10|Lung,ENSG00000004534.10,Lung,-551,LUMPY_DEL_140227,-0.316548,3.05319e-06,0.000462958301871658,SV,NONCODING,SV,LUMPY_DEL_140227,6.39464e-06,101,0.116862,0.084614,0.201476,0.580029,7.4729e-07
ENSG00000004534.10|Muscle_Skeletal,ENSG00000004534.10,Muscle_Skeletal,-551,LUMPY_DEL_140227,-0.525079,1.20791e-07,2.67252909719626e-05,SV,NONCODING,SV,LUMPY_DEL_140227,0.000498886,101,0.156122,0.011457,0.167579,0.931632,7.78871e-05
ENSG00000004534.10|Nerve_Tibial,ENSG00000004534.10,Nerve_Tibial,-551,LUMPY_DEL_140227,-0.439506,2.11707e-06,0.000652343007640449,SV,NONCODING,SV,LUMPY_DEL_140227,1.95199e-09,101,0.0689602,0.230746,0.299706,0.230093,1.3461e-10
ENSG00000004534.10|Skin_Sun_Exposed_Lower_leg,ENSG00000004534.10,Skin_Sun_Exposed_Lower_leg,-551,LUMPY_DEL_140227,-0.333684,3.59339e-05,0.00630824221410256,SV,NONCODING,SV,LUMPY_DEL_140227,1.44023e-06,101,0.112725,0.034673,0.147398,0.764766,1.6235e-07
ENSG00000004534.10|Thyroid,ENSG00000004534.10,Thyroid,-551,LUMPY_DEL_140227,-0.428555,1.89879e-07,5.04493695471698e-05,SV,NONCODING,SV,LUMPY_DEL_140227,1.28189e-08,101,0.0587186,0.164693,0.223412,0.262827,7.52708e-10
ENSG00000004534.10|Whole_Blood,ENSG00000004534.10,Whole_Blood,-551,LUMPY_DEL_140227,-0.336333,1.34059e-05,0.00138535404869565,SV,NONCODING,SV,LUMPY_DEL_140227,7.21547e-08,101,0.0389188,0.14815,0.187069,0.208045,2.80817e-09
ENSG00000004948.9|Lung,ENSG00000004948.9,Lung,123095,GS_DEL_CNV_7_93327137_93332262,0.332485,0.000863757,0.0559174194863014,SV,NONCODING,SV,GS_DEL_CNV_7_93327137_93332262,0.101063,2,0.116606,0.077763,0.194369,0.599921,0.0117846
ENSG00000005187.7|Esophagus_Mucosa,ENSG00000005187.7,Esophagus_Mucosa,156992,LUMPY_MEI_119818,0.72721,1.10461e-09,5.43765515e-07,SV,NONCODING,SV,LUMPY_MEI_119818,0.404575,1,,,,,
ENSG00000005187.7|Skin_Sun_Exposed_Lower_leg,ENSG00000005187.7,Skin_Sun_Exposed_Lower_leg,156992,LUMPY_MEI_119818,0.540674,9.31471e-05,0.013264898642487,SV,NONCODING,SV,LUMPY_MEI_119818,0.00943915,28,0.229643,0.398943,0.628586,0.365333,0.00216763
ENSG00000006025.7|Artery_Aorta,ENSG00000006025.7,Artery_Aorta,622281,LUMPY_BND_122659_1,0.37591,0.000785528,0.0843881508571429,SV,NONCODING,SV,LUMPY_BND_122659_1,0.0946619,1,0.141422,0.097309,0.238731,0.592391,0.0133873
ENSG00000006114.11|Artery_Tibial,ENSG00000006114.11,Artery_Tibial,-217183,LUMPY_BND_188529_1,0.492516,0.00125567,0.0853239740054496,SV,NONCODING,SV,LUMPY_BND_188529_1,2.81723e-07,91,0.0263604,0.237845,0.264205,0.0997724,7.42633e-09
ENSG00000006451.3|Adipose_Subcutaneous,ENSG00000006451.3,Adipose_Subcutaneous,-70711,LUMPY_MEI_161434,-0.573529,0.00097561,0.0777061750595238,SV,NONCODING,SV,LUMPY_MEI_161434,0.0510114,4,0.118756,0.051694,0.17045,0.69672,0.00605791
